onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
28.0874376417;0.0551020408163;4;4;12;1;2;0.470272108844;"""4/4""";57;6;1;1;F-6;A2
28.186122449;0.0938775510204;4;4;12;1;3;0.470272108844;"""4/4""";58;6;0;1;F-6;A2
28.3073015873;0.0816326530612;4;4;12;1;4;0.470272108844;"""4/4""";58;6;0;1;F-6;A2
28.4317460317;0.0938775510204;4;3;12;2;1;0.45306122449;"""4/4""";58;6;0;1;F-6;A2
28.5699773243;0.112244897959;4;3;12;2;2;0.45306122449;"""4/4""";58;6;0;1;F-6;A2
28.7172789116;0.112244897959;4;3;12;2;3;0.45306122449;"""4/4""";58;6;0;1;F-6;A2
28.850430839;0.397959183673;4;1;12;3;1;0.45306122449;"""4/4""";58;6;0;1;F-6;A2
29.306122449;0.175510204082;4;1;12;4;1;0.44514739229;"""4/4""";56;6;0;1;F-6;A2
29.7428571429;0.124489795918;4;3;13;1;1;0.447074829932;"""4/4""";59;6;0;1;F-6;A2
29.8795918367;0.565306122449;4;3;13;1;2;0.447074829932;"""4/4""";60;6;0;1;Dbj7;A2
31.0160544218;0.06820861678;4;4;13;3;4;0.46693877551;"""4/4""";56;7;1;1;Dbj7;A2
31.1640816327;0.100136054422;4;3;13;4;1;0.447120181406;"""4/4""";58;7;0;1;Dbj7;A2
31.4428571429;0.0857142857143;4;3;13;4;3;0.447120181406;"""4/4""";60;7;0;1;Dbj7;A2
31.6142857143;0.181632653061;4;2;14;1;1;0.440907029478;"""4/4""";67;7;0;1;Bb-7;A2
31.8816326531;0.0938775510204;4;2;14;1;2;0.440907029478;"""4/4""";67;7;0;1;Bb-7;A2
32.0183673469;0.134693877551;4;2;14;2;1;0.446984126984;"""4/4""";65;7;0;1;Bb-7;A2
32.2918367347;0.148979591837;4;2;14;2;2;0.446984126984;"""4/4""";65;7;0;1;Bb-7;A2
32.4836734694;0.365306122449;4;1;14;3;1;0.466734693878;"""4/4""";63;7;0;1;Bb-7;A2
32.9433106576;0.248979591837;4;3;14;4;1;0.431882086168;"""4/4""";62;7;0;1;Bb-7;A2
33.2132426304;2.06430839002;4;3;14;4;3;0.431882086168;"""4/4""";61;7;0;1;Bb-7;A2
36.106122449;0.195918367347;4;6;16;3;2;0.457120181406;"""4/4""";63;8;1;1;Eb7;A2
36.4591836735;0.14693877551;4;6;16;3;6;0.457120181406;"""4/4""";65;8;0;1;Eb7;A2
36.8428571429;0.108163265306;4;2;16;4;2;0.45126984127;"""4/4""";67;8;0;1;Eb7;A2
36.9918367347;0.202040816327;4;1;17;1;1;0.437482993197;"""4/4""";68;8;0;1;Abj7;B1
37.4334693878;0.235102040816;4;1;17;2;1;0.456780045351;"""4/4""";63;8;0;1;Abj7;B1
37.9102040816;0.214784580499;4;2;17;3;1;0.466530612245;"""4/4""";65;8;0;1;Bb-7;B1
38.1673469388;0.112244897959;4;2;17;3;2;0.466530612245;"""4/4""";61;8;0;1;Bb-7;B1
38.3408163265;0.157142857143;4;3;17;4;1;0.441836734694;"""4/4""";58;8;0;1;Bb-7;B1
38.6265306122;0.130612244898;4;3;17;4;3;0.441836734694;"""4/4""";55;8;0;1;Bb-7;B1
38.7673469388;0.171428571429;4;3;18;1;1;0.466916099773;"""4/4""";56;8;0;1;C-7;B1
39.0836734694;0.0816326530612;4;3;18;1;3;0.466916099773;"""4/4""";58;8;0;1;C-7;B1
39.2285714286;0.25306122449;4;1;18;2;1;0.43641723356;"""4/4""";60;8;0;1;C-7;B1
39.6857142857;0.114285714286;4;3;18;3;1;0.441836734694;"""4/4""";58;8;0;1;Bb-7;B1
39.9979591837;0.10612244898;4;3;18;3;3;0.441836734694;"""4/4""";60;8;0;1;Bb-7;B1
40.1183673469;0.14693877551;4;4;18;4;1;0.456825396825;"""4/4""";61;8;0;1;Bb-7;B1
40.4489795918;0.0938775510204;4;4;18;4;4;0.456825396825;"""4/4""";63;8;0;1;Bb-7;B1
40.5918367347;0.381632653061;4;1;19;1;1;0.457029478458;"""4/4""";65;8;0;1;Abj7;B1
41.0428571429;0.383673469388;4;1;19;2;1;0.437052154195;"""4/4""";68;8;0;1;Abj7;B1
41.487755102;0.395918367347;4;1;19;3;1;0.426530612245;"""4/4""";63;8;0;1;Bb-7;B1
41.9336734694;0.302040816327;4;4;19;4;1;0.446575963719;"""4/4""";63;8;0;1;Bb-7;B1
42.2545124717;0.632743764172;4;4;19;4;4;0.446575963719;"""4/4""";63;8;0;1;Bb-7;B1
44.2367346939;0.197959183673;4;1;21;1;1;0.46156462585;"""4/4""";72;9;1;1;Abj7;B1
44.6551020408;0.212244897959;4;1;21;2;1;0.462947845805;"""4/4""";67;9;0;1;Abj7;B1
45.1;0.195918367347;4;3;21;3;1;0.439727891156;"""4/4""";70;9;0;1;C7;B1
45.4066213152;0.140816326531;4;3;21;3;3;0.439727891156;"""4/4""";68;9;0;1;C7;B1
45.5510204082;0.212244897959;4;2;21;4;1;0.462698412698;"""4/4""";67;9;0;1;C7;B1
45.8040816327;0.175510204082;4;2;21;4;2;0.462698412698;"""4/4""";65;9;0;1;C7;B1
46.0480725624;0.229297052154;4;3;22;1;1;0.457029478458;"""4/4""";63;9;0;1;F-7;B1
46.3383219955;0.43537414966;4;3;22;1;3;0.457029478458;"""4/4""";60;9;0;1;F-7;B1
46.8926984127;0.264126984127;4;2;22;3;1;0.457120181406;"""4/4""";64;9;0;1;Eb-7;B1
47.1800453515;0.156734693878;4;2;22;3;2;0.457120181406;"""4/4""";60;9;0;1;Eb-7;B1
47.8229478458;0.130612244898;4;2;23;1;1;0.45693877551;"""4/4""";64;9;0;1;Dbj7;B1
47.956462585;1.10149659864;4;2;23;1;2;0.45693877551;"""4/4""";65;9;0;1;Dbj7;B1
49.4933333333;0.0957823129252;4;4;23;4;4;0.472766439909;"""4/4""";60;10;1;1;Dbj7;B1
49.6448979592;0.130612244898;4;4;24;1;1;0.441065759637;"""4/4""";63;10;0;1;Gm7b5;B1
49.8183673469;0.0918367346939;4;4;24;1;3;0.441065759637;"""4/4""";60;10;0;1;Gm7b5;B1
49.9258049887;0.116099773243;4;4;24;1;4;0.441065759637;"""4/4""";61;10;0;1;Gm7b5;B1
50.1144671202;0.104489795918;4;4;24;2;2;0.466848072562;"""4/4""";63;10;0;1;Gm7b5;B1
50.2741043084;0.101587301587;4;4;24;2;3;0.466848072562;"""4/4""";60;10;0;1;Gm7b5;B1
50.3960090703;0.089977324263;4;4;24;2;4;0.466848072562;"""4/4""";61;10;0;1;Gm7b5;B1
50.5527437642;0.101587301587;4;3;24;3;1;0.431111111111;"""4/4""";63;10;0;1;C7;B1
50.718185941;0.089977324263;4;3;24;3;2;0.431111111111;"""4/4""";60;10;0;1;C7;B1
50.822675737;0.107392290249;4;3;24;3;3;0.431111111111;"""4/4""";61;10;0;1;C7;B1
50.9823129252;0.235102040816;4;1;24;4;1;0.446961451247;"""4/4""";63;10;0;1;C7;B1
51.4837188209;0.13641723356;4;4;25;1;2;0.456893424036;"""4/4""";67;11;1;1;F-;A3
51.6237641723;0.0725623582766;4;4;25;1;3;0.456893424036;"""4/4""";64;11;0;1;F-;A3
